Document Index (generated),Number of Records,Question Id,Topic Id
115,1,1172464,attention-deficit-hyperactivity-disorder-questions
116,1,1172478,angina-questions
117,1,1172478,chest-questions
118,1,1172478,pain-questions
119,1,1172493,fetal-alcohol-syndrome-questions
120,1,1172506,amyotrophic-lateral-sclerosis-questions
121,1,1172534,spondylitis-questions
122,1,1172649,breast-questions
123,1,1172651,breast-cancer-questions
124,1,1172688,bursitis-questions
125,1,1172711,canker-sore-questions
126,1,1172783,colon-cancer-questions
127,1,1172850,pain-questions
128,1,1172863,depression-questions
129,1,1172875,diabetes-questions
130,1,1172877,diabetes-questions
131,1,1172951,fibromyalgia-questions
132,1,1172955,fibromyalgia-questions
133,1,1172973,flu-questions
134,1,1172973,injection-questions
135,1,1173006,bloating-questions
136,1,1173006,stomach-questions
137,1,1173009,flatulence-questions
138,1,1173063,heart-attack-questions
139,1,1173065,atherosclerosis-questions
140,1,1173065,heart-attack-questions
141,1,1173079,urination-questions
142,1,1173168,kidney-questions
143,1,1173168,kidney-stone-questions
144,1,1173205,lyme-disease-questions
145,1,1173258,meningitis-questions
146,1,1173261,meningitis-questions
147,1,1173274,headache-questions
148,1,1173274,migraine-questions
149,1,1173308,multiple-sclerosis-questions
150,1,1173339,nsaid-questions
151,1,1173399,panic-attack-questions
152,1,1173413,parkinsons-disease-questions
153,1,1173477,pneumonia-questions
154,1,1173501,pregnancy-questions
155,1,1173512,prostate-specific-antigen-test-questions
156,1,1173515,prostate-cancer-questions
157,1,1173515,screening-questions
158,1,1173520,prostate-cancer-questions
159,1,1173547,psoriasis-questions
160,1,1173548,psoriasis-questions
161,1,1173556,psoriasis-questions
162,1,1173595,rheumatoid-arthritis-questions
163,1,1173597,rheumatoid-arthritis-questions
164,1,1173613,complex-regional-pain-syndrome-questions
165,1,1173617,complex-regional-pain-syndrome-questions
166,1,1173628,scleroderma-questions
167,1,1173629,scleroderma-questions
168,1,1173647,shingles-questions
169,1,1173662,sinus-infection-questions
170,1,1173677,sore-throat-questions
171,1,1173692,celiac-disease-questions
172,1,1173754,lupus-questions
173,1,1173754,newborn-questions
174,1,1173754,pregnancy-questions
175,1,1173793,dental-questions
176,1,1173793,toothache-questions
177,1,1173823,tuberculosis-questions
178,1,1173845,hives-questions
179,1,1173853,vein-questions
180,1,1173894,hepatitis-c-questions
181,1,1173894,infection-questions
182,1,1173894,injury-questions
183,1,1173894,liver-questions
184,1,1173901,biopsy-questions
185,1,1173901,hepatitis-c-questions
186,1,1173901,liver-questions
187,1,1173923,diet-questions
188,1,1173923,obesity-questions
189,1,1173986,abdominal-pain-questions
190,1,1173994,fatty-liver-disease-questions
191,1,1173994,nafld-questions
192,1,1173994,nash-questions
193,1,1174008,nafld-questions
194,1,1174008,nash-questions
195,1,1174033,cancer-questions
196,1,1174033,liver-questions
197,1,1174105,congestive-heart-failure-questions
198,1,1174106,congestive-heart-failure-questions
199,1,1174184,low-blood-pressure-questions
200,1,1174206,hyperkalemia-questions
201,1,1174242,facial-nerve-questions
202,1,1174267,restless-leg-syndrome-questions
203,1,1174324,obstructive-sleep-apnea-questions
204,1,1174328,sleep-apnea-questions
205,1,1174329,sleep-apnea-questions
206,1,1174340,mumps-questions
207,1,1174341,mumps-questions
208,1,1174350,mumps-questions
209,1,1174353,mumps-questions
210,1,1174519,cramps-questions
211,1,1174519,muscle-questions
212,1,1174523,cramps-questions
213,1,1174523,muscle-questions
214,1,1174523,vitamin-questions
215,1,1174525,cramps-questions
216,1,1174525,muscle-questions
217,1,1174535,peripheral-artery-disease-questions
218,1,1174537,sciatica-questions
219,1,1174538,sciatica-questions
220,1,1174539,sciatica-questions
221,1,1174560,neck-questions
222,1,1174560,pain-questions
223,1,1174561,neck-questions
224,1,1174561,pain-questions
225,1,1174580,menopause-questions
226,1,1174698,swallowing-problem-questions
227,1,1174719,sleep-disorder-questions
228,1,1174723,measles-questions
229,1,1174833,genital-herpes-questions
230,1,1174836,genital-herpes-questions
231,1,1174864,chondromalacia-patella-questions
232,1,1174877,foot-questions
233,1,1174877,hand-questions
234,1,1174877,mouth-questions
235,1,1174900,skin-questions
236,1,1174993,spinal-stenosis-questions
237,1,1175045,arthritis-questions
238,1,1175147,yeast-infection-questions
239,1,1175147,yeast-questions
240,1,1175196,head-lice-questions
241,1,1175196,lice-infestation-questions
242,1,1175196,lice-questions
243,1,1175232,alcoholism-questions
244,1,1175234,alcoholism-questions
245,1,1175237,alcoholism-questions
246,1,1175240,drinking-questions
247,1,1175240,pregnancy-questions
248,1,1175241,alcoholism-questions
249,1,1175245,alcoholism-questions
250,1,1175245,drug-questions
251,1,1175269,dementia-questions
252,1,1175328,eustachian-tube-dysfunction-questions
253,1,1175328,travel-questions
254,1,1175356,cold-sore-questions
255,1,1175356,drug-questions
256,1,1175420,vitiligo-questions
257,1,1175421,vitiligo-questions
258,1,1175423,skin-questions
259,1,1175423,vitiligo-questions
260,1,1175424,vitiligo-questions
261,1,1175425,vitiligo-questions
262,1,1175427,vitiligo-questions
263,1,1175428,vitiligo-questions
264,1,1175579,kidney-failure-questions
265,1,1175613,hair-loss-questions
266,1,1175614,hair-loss-questions
267,1,1175615,hair-loss-questions
268,1,1175616,hair-loss-questions
269,1,1175617,hair-loss-questions
270,1,1175663,quit-smoking-questions
271,1,1175700,impetigo-questions
272,1,1175720,scabies-questions
273,1,1175722,cats-questions
274,1,1175722,dog-questions
275,1,1175722,scabies-questions
276,1,1175732,skin-questions
277,1,1175849,heart-disease-questions
278,1,1175872,anaphylaxis-questions
279,1,1175873,anaphylaxis-questions
280,1,1175954,itch-questions
281,1,1176025,vagina-questions
282,1,1176026,sexual-intercourse-questions
283,1,1176026,vagina-questions
284,1,1176032,breast-questions
285,1,1176032,lump-questions
286,1,1176032,skin-questions
287,1,1176051,bacterial-vaginosis-questions
288,1,1176099,pleurisy-questions
289,1,1176101,pleurisy-questions
290,1,1176111,narcolepsy-questions
291,1,1176112,sexual-intercourse-questions
292,1,1176169,lung-questions
293,1,1176182,bipolar-disorder-questions
294,1,1176183,bipolar-disorder-questions
295,1,1176194,sprain-questions
296,1,1176251,family-questions
297,1,1176251,suicide-questions
298,1,1176260,drug-abuse-questions
299,1,1176316,borderline-personality-disorder-questions
300,1,1176322,cocaine-questions
301,1,1176325,cocaine-questions
302,1,1176334,brain-questions
303,1,1176334,marijuana-questions
304,1,1176390,food-questions
305,1,1176418,hyperhidrosis-questions
306,1,1176458,sexual-dysfunction-questions
307,1,1176516,nausea-questions
308,1,1176516,vomit-questions
309,1,1176573,pain-questions
310,1,1176574,breast-cancer-questions
311,1,1176574,exercise-questions
312,1,1176575,breast-cancer-questions
313,1,1176575,family-questions
314,1,1176576,breast-cancer-questions
315,1,1176577,breast-cancer-questions
316,1,1176577,stress-questions
317,1,1176578,breast-cancer-questions
318,1,1176578,stress-questions
319,1,1176580,breast-cancer-questions
320,1,1176582,breast-cancer-questions
321,1,1176583,lymphedema-questions
322,1,1176584,lymphedema-questions
323,1,1176585,lymphedema-questions
324,1,1176586,lymphedema-questions
325,1,1176587,lymphedema-questions
326,1,1176588,lymphedema-questions
327,1,1176589,lymphedema-questions
328,1,1176590,breast-cancer-questions
329,1,1176590,surgery-questions
330,1,1176591,lymphedema-questions
331,1,1176600,depression-questions
332,1,1176601,depression-questions
333,1,1176602,depression-questions
334,1,1176603,depression-questions
335,1,1176605,depression-questions
336,1,1176607,depression-questions
337,1,1176608,depression-questions
338,1,1176609,depression-questions
339,1,1176658,arrhythmia-questions
340,1,1176659,arrhythmia-questions
341,1,1176660,arrhythmia-questions
342,1,1176660,drug-questions
343,1,1176661,ablation-questions
344,1,1176661,catheter-questions
345,1,1176661,heart-questions
346,1,1176662,cardioversion-questions
347,1,1176663,arrhythmia-questions
348,1,1176664,arrhythmia-questions
349,1,1176665,heart-surgery-questions
350,1,1176667,pacemaker-questions
351,1,1176668,arrhythmia-questions
352,1,1176669,arrhythmia-questions
353,1,1176694,stress-questions
354,1,1176708,cancer-questions
355,1,1176708,fatigue-questions
356,1,1176709,cancer-questions
357,1,1176709,fatigue-questions
358,1,1176710,cancer-questions
359,1,1176710,stress-questions
360,1,1176711,cancer-questions
361,1,1176711,exercise-questions
362,1,1176712,cancer-questions
363,1,1176712,fatigue-questions
364,1,1176713,cancer-questions
365,1,1176713,fatigue-questions
366,1,1176714,cancer-questions
367,1,1176714,nutrition-questions
368,1,1176742,balanitis-questions
369,1,1176744,balanitis-questions
370,1,1176745,penis-questions
371,1,1176746,penile-cancer-questions
372,1,1176747,paraphimosis-questions
373,1,1176748,balanitis-questions
374,1,1176749,priapism-questions
375,1,1176750,priapism-questions
376,1,1176751,penile-cancer-questions
377,1,1176752,penile-cancer-questions
378,1,1176755,penile-cancer-questions
379,1,1176756,paraphimosis-questions
380,1,1176757,paraphimosis-questions
381,1,1176759,priapism-questions
382,1,1176779,hormone-questions
383,1,1176780,sexual-problem-questions
384,1,1176781,sexual-problem-questions
385,1,1176782,menopause-questions
386,1,1176783,sexual-problem-questions
387,1,1176784,sexual-problem-questions
388,1,1176785,sexual-problem-questions
389,1,1176786,sexual-problem-questions
390,1,1176788,hysterectomy-questions
391,1,1176791,ejaculation-questions
392,1,1176801,addiction-questions
393,1,1176918,anxiety-questions
394,1,1176974,dry-mouth-questions
395,1,1176975,dry-mouth-questions
396,1,1176976,dry-mouth-questions
397,1,1176977,dry-mouth-questions
398,1,1176984,thrush-questions
399,1,1176985,thrush-questions
400,1,1176986,thrush-questions
401,1,1176987,thrush-questions
402,1,1176988,thrush-questions
403,1,1176989,baby-bottle-tooth-decay-questions
404,1,1177019,asthma-questions
405,1,1177128,charcot-marie-tooth-disease-questions
406,1,1177128,tooth-questions
407,1,1177175,pregnancy-questions
408,1,1177175,thyroiditis-questions
409,1,1177299,snorer-questions
410,1,1177307,cyst-questions
411,1,1177360,liver-questions
412,1,1177440,autism-questions
413,1,1177458,kidney-questions
414,1,1177469,poisoning-questions
415,1,1177472,alcoholism-questions
416,1,1177474,alcohol-abuse-questions
417,1,1177476,alcoholism-questions
418,1,1177477,alcoholism-questions
419,1,1177496,drug-abuse-questions
420,1,1177497,drug-abuse-questions
421,1,1177498,drug-questions
422,1,1177502,drug-abuse-questions
423,1,1177503,drug-abuse-questions
424,1,1177531,domestic-violence-questions
425,1,1177616,cat-scratch-disease-questions
426,1,1177624,infection-questions
427,1,1177624,methicillin-resistant-staphylococcus-aureus-questions
428,1,1177720,diabetes-questions
429,1,1177720,hyperglycemia-questions
430,1,1177765,mitochondrial-myopathy-questions
431,1,1177889,insect-bite-questions
432,1,1177889,itch-questions
433,1,1177889,pain-questions
434,1,1177889,sting-questions
435,1,1177916,keratosis-pilaris-questions
436,1,1177937,dry-socket-questions
437,1,1177939,tongue-questions
438,1,1178014,lymph-node-questions
439,1,1178015,lymph-node-questions
440,1,1178015,swelling-questions
441,1,1178046,sepsis-questions
442,1,1178112,broken-toe-questions
443,1,1178149,colitis-questions
444,1,1178155,hot-flash-questions
445,1,1178158,bone-spurs-questions
446,1,1178160,bone-spurs-questions
447,1,1178161,bone-spurs-questions
448,1,1178174,mold-questions
449,1,1178183,blood-clot-questions
450,1,1178226,swine-flu-questions
451,1,1178253,sting-questions
452,1,1178301,dislocation-questions
453,1,1178301,shoulder-questions
454,1,1178329,pilonidal-cyst-questions
455,1,1178331,pilonidal-cyst-questions
456,1,1178342,chigger-questions
457,1,1178543,radiculopathy-questions
458,1,1178715,diet-questions
459,1,1178715,skin-questions
460,1,1178716,aging-questions
461,1,1178716,food-questions
462,1,1178717,aging-questions
463,1,1178718,oatmeal-questions
464,1,1178719,aging-questions
465,1,1178719,hormone-replacement-therapy-questions
466,1,1178737,vision-questions
467,1,1178737,weight-loss-questions
468,1,1178738,weight-loss-questions
469,1,1178739,diet-questions
470,1,1178739,weight-loss-questions
471,1,1178740,surgery-questions
472,1,1178740,weight-loss-questions
473,1,1178745,pregnancy-questions
474,1,1178745,weight-questions
475,1,1178746,baby-questions
476,1,1178746,pregnancy-questions
477,1,1178746,weight-questions
478,1,1178747,baby-questions
479,1,1178747,pregnancy-questions
480,1,1178747,weight-questions
481,1,1178748,baby-questions
482,1,1178748,breastfeed-questions
483,1,1178748,weight-questions
484,1,1178749,baby-questions
485,1,1178749,breastfeed-questions
486,1,1178749,weight-questions
487,1,1178750,breastfeed-questions
488,1,1178750,weight-loss-questions
489,1,1178751,pregnancy-questions
490,1,1178751,weight-loss-questions
491,1,1178752,weight-gain-questions
492,1,1178753,weight-gain-questions
493,1,1178754,weight-questions
494,1,1178755,hormone-replacement-therapy-questions
495,1,1178755,weight-gain-questions
496,1,1178756,stomach-questions
497,1,1178757,metabolism-questions
498,1,1178758,workout-questions
499,1,1178771,bladder-questions
500,1,1178790,tooth-questions
501,1,1178795,exercise-questions
502,1,1178795,muscle-questions
503,1,1178795,vagina-questions
504,1,1178796,muscle-questions
505,1,1178796,vagina-questions
506,1,1178797,plastic-surgery-questions
507,1,1178797,vagina-questions
508,1,1178800,diabetes-questions
509,1,1178801,surgery-questions
510,1,1178804,mammogram-questions
511,1,1178804,screening-questions
512,1,1178805,mammogram-questions
513,1,1178805,screening-questions
514,1,1178806,pap-test-questions
515,1,1178807,mammogram-questions
516,1,1178807,screening-questions
517,1,1178808,pap-test-questions
518,1,1178809,pap-test-questions
519,1,1178810,mammogram-questions
520,1,1178810,screening-questions
521,1,1178811,pap-test-questions
522,1,1178812,breast-cancer-questions
523,1,1178812,breast-questions
524,1,1178812,breast-self-exam-questions
525,1,1178813,vitamin-d-questions
526,1,1178814,vitamin-d-questions
527,1,1178815,vitamin-d-questions
528,1,1178816,breast-cancer-questions
529,1,1178816,vitamin-d-questions
530,1,1178817,ovarian-cancer-questions
531,1,1178817,vitamin-d-questions
532,1,1178818,colon-cancer-questions
533,1,1178818,vitamin-d-questions
534,1,1178819,cardiovascular-disease-questions
535,1,1178819,vitamin-d-questions
536,1,1178820,depression-questions
537,1,1178820,vitamin-d-questions
538,1,1178821,lupus-questions
539,1,1178821,rheumatoid-arthritis-questions
540,1,1178821,vitamin-d-questions
541,1,1178822,vitamin-d-questions
542,1,1178823,organ-questions
543,1,1178823,pelvis-questions
544,1,1178824,organ-questions
545,1,1178824,pelvis-questions
546,1,1178825,organ-questions
547,1,1178825,pelvis-questions
548,1,1178825,surgery-questions
549,1,1178826,organ-questions
550,1,1178826,pelvis-questions
551,1,1178826,surgery-questions
552,1,1178827,organ-questions
553,1,1178827,pelvis-questions
554,1,1178828,sexual-intercourse-questions
555,1,1178829,urination-questions
556,1,1178829,vagina-questions
557,1,1178829,weight-questions
558,1,1178830,menopause-questions
559,1,1178830,ovary-questions
560,1,1178830,premature-menopause-questions
561,1,1178831,ovary-questions
562,1,1178832,ovary-questions
563,1,1178833,ovary-questions
564,1,1178833,pregnancy-questions
565,1,1178834,ovary-questions
566,1,1178834,pregnancy-questions
567,1,1178835,ovary-questions
568,1,1178843,swine-flu-questions
569,1,1178860,flu-questions
570,1,1178861,flu-questions
571,1,1178861,swine-flu-questions
572,1,1178862,chemotherapy-questions
573,1,1178862,flu-questions
574,1,1178862,injection-questions
575,1,1178864,flu-questions
576,1,1178865,heart-attack-questions
577,1,1178867,fast-food-questions
578,1,1178868,bacterium-questions
579,1,1178868,salad-questions
580,1,1178869,salad-questions
581,1,1178870,food-allergy-questions
582,1,1178871,lactase-questions
583,1,1178871,lactose-questions
584,1,1178871,milk-questions
585,1,1178872,food-allergy-questions
586,1,1178873,peanut-questions
587,1,1178874,food-questions
588,1,1178883,vasectomy-questions
589,1,1178884,cholesterol-questions
590,1,1178885,cholesterol-questions
591,1,1178885,soy-questions
592,1,1178886,cholesterol-questions
593,1,1178887,cholesterol-questions
594,1,1178888,cholesterol-questions
595,1,1178889,cholesterol-questions
596,1,1178889,vinegar-questions
597,1,1178890,cholesterol-questions
598,1,1178890,fiber-questions
599,1,1178899,acne-questions
600,1,1178902,actinic-keratosis-questions
601,1,1178906,aids-questions
602,1,1178906,hiv-questions
603,1,1178907,alcoholism-questions
604,1,1178923,asthma-questions
605,1,1178946,canker-sore-questions
606,1,1178951,chlamydia-questions
607,1,1178955,cirrhosis-questions
608,1,1178956,cirrhosis-questions
609,1,1178956,liver-questions
610,1,1178958,colon-cancer-questions
611,1,1178959,cold-questions
612,1,1178959,coldness-questions
613,1,1178971,diarrhea-questions
614,1,1178974,herniated-disk-questions
615,1,1178982,endometrial-cancer-questions
616,1,1178986,erectile-dysfunction-questions
617,1,1178991,food-poisoning-questions
618,1,1179025,hemorrhoid-questions
619,1,1179029,hernia-questions
620,1,1179031,hiatal-hernia-questions
621,1,1179033,blood-pressure-questions
622,1,1179035,high-blood-pressure-questions
623,1,1179046,kidney-disease-questions
624,1,1179049,kidney-stone-questions
625,1,1179054,cancer-questions
626,1,1179054,liver-questions
627,1,1179056,low-blood-pressure-questions
628,1,1179075,myasthenia-gravis-questions
629,1,1179093,pancreatitis-questions
630,1,1179100,plantar-fasciitis-questions
631,1,1179111,psoriasis-questions
632,1,1179116,ringworm-questions
633,1,1179129,seizure-questions
634,1,1179261,colon-cancer-questions
635,1,1179261,ulcerative-colitis-questions
636,1,1179293,skin-questions
637,1,1179409,hepatitis-c-questions
638,1,1179437,tattoo-questions
639,1,1179515,exercise-questions
640,1,1179547,arthritis-questions
641,1,1179547,coldness-questions
642,1,1179547,pain-questions
643,1,1179591,osteoarthritis-questions
644,1,1179603,pinched-nerve-questions
645,1,1179604,pinched-nerve-questions
646,1,1179621,bacterial-vaginosis-questions
647,1,1179640,chronic-obstructive-pulmonary-disease-questions
648,1,1179640,nutrition-questions
649,1,1179743,sexual-intercourse-questions
650,1,1179783,diet-questions
651,1,1179783,over-the-counter-questions
652,1,1179783,weight-loss-questions
653,1,1179793,exercise-questions
654,1,1179801,genital-herpes-questions
655,1,1179803,genital-herpes-questions
656,1,1179807,genital-herpes-questions
657,1,1179807,virus-questions
658,1,1179969,glaucoma-questions
659,1,1179969,marijuana-questions
660,1,1179989,heartburn-questions
661,1,1179989,pregnancy-questions
662,1,1180061,sexual-intercourse-questions
663,1,1180113,quit-smoking-questions
664,1,1180119,quit-smoking-questions
665,1,1180123,rheumatoid-arthritis-questions
666,1,1180144,smoking-questions
667,1,1180161,sexual-intercourse-questions
668,1,1180167,retrograde-ejaculation-questions
669,1,1180168,erection-questions
670,1,1180168,period-questions
671,1,1180181,birth-control-questions
672,1,1180181,pregnancy-questions
673,1,1180313,diabetes-questions
674,1,1180313,diet-questions
675,1,1180314,blood-sugar-questions
676,1,1180314,diabetes-questions
677,1,1180327,diabetes-questions
678,1,1180485,poison-ivy-questions
679,1,1180531,vitiligo-questions
680,1,1180532,neck-questions
681,1,1180532,vitiligo-questions
682,1,1180582,cellulite-questions
683,1,1180582,diet-questions
684,1,1180582,exercise-questions
685,1,1180615,cold-questions
686,1,1180615,coldness-questions
687,1,1180615,vitamin-questions
688,1,1180624,cholesterol-questions
689,1,1180624,oatmeal-questions
690,1,1180661,heartburn-questions
691,1,1180682,multiple-sclerosis-questions
692,1,1180684,multiple-sclerosis-questions
693,1,1180685,multiple-sclerosis-questions
694,1,1180729,asthma-questions
695,1,1180735,ears-questions
696,1,1180735,infection-questions
697,1,1180783,diet-questions
698,1,1180878,carbohydrate-questions
699,1,1180878,diet-questions
700,1,1180878,low-carb-diet-questions
701,1,1180951,ankle-questions
702,1,1181068,cholesterol-questions
703,1,1181068,food-questions
704,1,1181263,hand-questions
705,1,1181263,skin-questions
706,1,1181269,arm-questions
707,1,1181269,bedbug-questions
708,1,1181281,drug-questions
709,1,1181282,drug-questions
710,1,1181289,carbohydrate-questions
711,1,1181361,osteoporosis-questions
712,1,1181386,gastroenteritis-questions
713,1,1181387,gastroenteritis-questions
714,1,1181398,baby-questions
715,1,1181399,baby-questions
716,1,1181400,baby-questions
717,1,1181401,baby-questions
718,1,1181402,baby-questions
719,1,1181403,baby-questions
720,1,1181404,baby-questions
721,1,1181405,baby-questions
722,1,1181406,sids-questions
723,1,1181428,colic-questions
724,1,1181429,colic-questions
725,1,1181430,colic-questions
726,1,1181431,baby-questions
727,1,1181431,crying-questions
728,1,1181431,teething-questions
729,1,1181432,baby-questions
730,1,1181432,crying-questions
731,1,1181433,baby-questions
732,1,1181433,crying-questions
733,1,1181434,baby-questions
734,1,1181471,feeding-questions
735,1,1181472,baby-questions
736,1,1181472,feeding-questions
737,1,1181473,baby-questions
738,1,1181473,belch-questions
739,1,1181474,baby-questions
740,1,1181474,feeding-questions
741,1,1181475,baby-questions
742,1,1181476,baby-questions
743,1,1181476,feeding-questions
744,1,1181494,baby-questions
745,1,1181494,food-questions
746,1,1181543,sore-throat-questions
747,1,1181552,flatulence-questions
748,1,1181557,workout-questions
749,1,1181561,diet-questions
750,1,1181564,cooking-questions
751,1,1181564,tofu-questions
752,1,1181573,heartburn-questions
753,1,1181577,penis-questions
754,1,1181590,thyroid-questions
755,1,1181595,hypothyroidism-questions
756,1,1181609,psoriasis-questions
757,1,1181613,psoriasis-questions
758,1,1181816,vision-questions
759,1,1181816,wart-questions
760,1,1181827,vinegar-questions
761,1,1181871,food-questions
762,1,1181909,irritable-bowel-syndrome-questions
763,1,1181978,migraine-questions
764,1,1181979,anxiety-questions
765,1,1181979,heart-questions
766,1,1181980,brain-questions
767,1,1181980,movement-questions
768,1,1181981,antidepressant-questions
769,1,1181981,brain-questions
770,1,1181981,serotonin-questions
771,1,1181982,parkinsons-disease-questions
772,1,1181983,acupuncture-questions
773,1,1181984,bacterium-questions
774,1,1181984,salad-questions
775,1,1181985,bacterium-questions
776,1,1181985,salad-questions
777,1,1181990,anger-questions
778,1,1181990,irritability-questions
779,1,1181991,bipolar-disorder-questions
780,1,1181992,bipolar-disorder-questions
781,1,1182036,sexual-intercourse-questions
782,1,1182036,sexually-transmitted-disease-questions
783,1,1182037,breast-questions
784,1,1182037,period-questions
785,1,1182037,pregnancy-questions
786,1,1182038,baby-questions
787,1,1182039,baby-questions
788,1,1182039,toddler-questions
789,1,1182040,baby-questions
790,1,1182040,coldness-questions
791,1,1182040,drug-questions
792,1,1182041,baby-questions
793,1,1182041,cold-questions
794,1,1182041,coldness-questions
795,1,1182087,fibromyalgia-questions
796,1,1182087,marijuana-questions
797,1,1182088,fibromyalgia-questions
798,1,1182127,cyst-questions
799,1,1182127,ovary-questions
800,1,1182131,vagina-questions
801,1,1182144,marijuana-questions
802,1,1182185,hemorrhoid-questions
803,1,1182185,surgery-questions
804,1,1182189,hernia-questions
805,1,1182214,drug-questions
806,1,1182214,pregnancy-questions
807,1,1182226,genital-herpes-questions
808,1,1182234,pneumonia-questions
809,1,1182236,methicillin-resistant-staphylococcus-aureus-questions
810,1,1182237,methicillin-resistant-staphylococcus-aureus-questions
811,1,1182250,human-papillomavirus-questions
812,1,1182277,diverticulitis-questions
813,1,1182278,diverticulitis-questions
814,1,1182311,leg-questions
815,1,1182311,pain-questions
816,1,1182311,pregnancy-questions
817,1,1182316,pregnancy-test-questions
818,1,1182360,pets-questions
819,1,1182361,allergy-questions
820,1,1182361,immunotherapy-questions
821,1,1182363,bipolar-disorder-questions
822,1,1182363,carbohydrate-questions
823,1,1182363,drug-questions
824,1,1182364,period-questions
825,1,1182364,weight-loss-questions
826,1,1182365,antidepressant-questions
827,1,1182365,spotting-questions
828,1,1182367,urination-questions
829,1,1182369,antidepressant-questions
830,1,1182369,weight-gain-questions
831,1,1182371,antidepressant-questions
832,1,1182372,coffee-questions
833,1,1182372,liver-questions
834,1,1182374,erectile-dysfunction-questions
835,1,1182374,sexual-problem-questions
836,1,1182375,drug-questions
837,1,1182375,erectile-dysfunction-questions
838,1,1182375,penis-questions
839,1,1182376,exercise-questions
840,1,1182376,meal-questions
841,1,1182377,snack-questions
842,1,1182378,diet-questions
843,1,1182378,heartburn-questions
844,1,1182379,diet-questions
845,1,1182379,urinary-incontinence-questions
846,1,1182380,exercise-questions
847,1,1182380,pelvis-questions
848,1,1182381,blister-questions
849,1,1182381,skin-questions
850,1,1182381,tongue-questions
851,1,1182382,dental-questions
852,1,1182383,tooth-questions
853,1,1182385,height-questions
854,1,1182386,cereal-questions
855,1,1182387,diabetes-questions
856,1,1182387,period-questions
857,1,1182388,coffee-questions
858,1,1182388,diabetes-questions
859,1,1182388,milk-questions
