Document Index (generated),Number of Records,Member Follower Number,Member Helpful Votes,Member Id,Member Job,Member Name,Member Type,Member Workplace
65597,1,0,0,91323,,patriciareist,Contributor,
65598,1,0,0,91324,,mary188,Contributor,
65599,1,0,0,91325,,adamclayphoto,Contributor,
65600,1,0,0,91326,,asweetchicka913,Contributor,
65601,1,0,0,91327,,retiredexec,Contributor,
65602,1,0,0,91328,,trumpetgal,Contributor,
65603,1,0,0,91329,,onapap1,Contributor,
65604,1,0,0,91330,,Shambles,Contributor,
65605,1,0,10,91331,,dad79,Contributor,
65606,1,0,0,91332,,mzhasan2012,Contributor,
65607,1,0,0,91333,,cquilts,Contributor,
65608,1,0,0,91334,,gokgok1947,Contributor,
65609,1,0,0,91335,,kath55,Contributor,
65610,1,0,0,91336,,NickGold,Contributor,
65611,1,0,0,91337,,healthy228,Contributor,
65612,1,0,0,91338,,jrzzz,Contributor,
65613,1,0,0,91339,,BlueKalina,Contributor,
65614,1,0,5,91340,,Chinzman,Contributor,
65615,1,0,0,91341,,lenny19,Contributor,
65616,1,0,0,91342,,clms2013,Contributor,
65617,1,0,0,91343,,Arose4U,Contributor,
65618,1,0,0,91344,,sonyanightgirl,Contributor,
65619,1,0,0,91345,,jimgil123,Contributor,
65620,1,0,0,91346,,ernilind,Contributor,
65621,1,0,0,91347,,sickcrazyoldbiddy,Contributor,
65622,1,0,0,91348,,carebear47452,Contributor,
65623,1,0,0,91349,,justletmebe,Contributor,
65624,1,0,0,91350,,Rainkat35,Contributor,
65625,1,0,0,91351,,rpak2886,Contributor,
65626,1,0,0,91352,,Wuschelbeutel,Contributor,
65627,1,0,0,91353,,rachellove,Contributor,
65628,1,0,0,91354,,palmatorya,Contributor,
65629,1,0,0,91355,,cjswife2011,Contributor,
65630,1,0,0,91356,,maddymay06,Contributor,
65631,1,0,0,91357,,daniellespiers,Contributor,
65632,1,0,0,91358,,acehardy,Contributor,
65633,1,0,0,91359,,ARBY26,Contributor,
65634,1,0,0,91360,,f4113n4ng31,Contributor,
65635,1,0,0,91361,,KevinBrooke,Contributor,
65636,1,0,0,91362,,noxonml,Contributor,
65637,1,0,0,91363,,rowdy1958,Contributor,
65638,1,0,0,91364,,loopy777,Contributor,
65639,1,0,0,91365,,eljvf9,Contributor,
65640,1,0,0,91366,,sb127107,Contributor,
65641,1,0,0,91367,,Patty54321,Contributor,
65642,1,0,0,91368,,azgirl70,Contributor,
65643,1,0,0,91369,,Gracyhopper,Contributor,
65644,1,0,0,91370,,portals77,Contributor,
65645,1,0,0,91371,,trozzi2002,Contributor,
65646,1,0,0,91372,,ALLrand,Contributor,
65647,1,0,0,91373,,dlarae83,Contributor,
65648,1,0,0,91374,,Psheputis,Contributor,
65649,1,0,0,91375,,jyore,Contributor,
65650,1,0,0,91376,,Sexyman,Contributor,
65651,1,0,0,91377,,jenneefar,Contributor,
65652,1,0,0,91378,,Chantel_Let_it_Fly_44,Contributor,
65653,1,0,0,91379,,mTobin,Contributor,
65654,1,0,0,91380,,jose87,Contributor,
65655,1,0,0,91381,,raviish,Contributor,
65656,1,0,0,91382,,Lovebiology,Contributor,
65657,1,0,0,91383,,devdher,Contributor,
65658,1,0,0,91384,,Jdog101,Contributor,
65659,1,0,0,91385,,brandibardue,Contributor,
65660,1,0,0,91386,,medi888,Contributor,
65661,1,0,0,91387,,tkmatt,Contributor,
65662,1,0,0,91388,,nmatijasevic,Contributor,
65663,1,0,0,91389,,soonerjj,Contributor,
65664,1,0,0,91390,,Bishop517,Contributor,
65665,1,0,0,91391,,jordan5,Contributor,
65666,1,0,0,91392,,ripouttheordinary4998,Contributor,
65667,1,0,0,91393,,paigepertuit,Contributor,
65668,1,0,0,91394,,HHWest1,Contributor,
65669,1,0,0,91395,,Flame0922,Contributor,
65670,1,0,0,91396,,Frustrating2,Contributor,
65671,1,0,0,91397,,Rudyman22,Contributor,
65672,1,0,0,91398,,beachcomber1231,Contributor,
65673,1,0,0,91399,,kjoyce24,Contributor,
65674,1,0,0,91400,,Blak231,Contributor,
65675,1,0,0,91401,,yoshino,Contributor,
65676,1,0,0,91402,,KoKo3083,Contributor,
65677,1,0,0,91403,,Cheeksj1,Contributor,
65678,1,0,0,91404,,pl6003,Contributor,
65679,1,0,0,91405,,smichaud2,Contributor,
65680,1,0,0,91406,,MartinRae,Contributor,
65681,1,0,0,91407,,123weight,Contributor,
65682,1,0,0,91408,,Allhorizonfinan,Contributor,
65683,1,0,0,91409,,FunkyPenguin,Contributor,
65684,1,0,0,91410,,BPsych,Contributor,
65685,1,0,0,91411,,17smitha,Contributor,
65686,1,0,0,91412,,Brighteyes0505,Contributor,
65687,1,0,0,91413,,mmharris50,Contributor,
65688,1,0,0,91414,,brannae,Contributor,
65689,1,0,0,91415,,salem1,Contributor,
65690,1,0,0,91416,,kingjames27,Contributor,
65691,1,0,0,91417,,JulesE,Contributor,
65692,1,0,0,91418,,N4spd,Contributor,
65693,1,0,0,91419,,hleighann8,Contributor,
65694,1,0,0,91420,,55bsb,Contributor,
65695,1,0,0,91421,,angeldust361,Contributor,
65696,1,0,0,91422,,ronnyg,Contributor,
65697,1,0,0,91423,,patsfan1412,Contributor,
65698,1,0,0,91424,,hituwhritmatamost,Contributor,
65699,1,0,0,91425,,Match,Contributor,
65700,1,0,0,91426,,Jchiujob,Contributor,
65701,1,0,0,91427,,Slurpeette,Contributor,
65702,1,0,0,91428,,buzzsmom,Contributor,
65703,1,0,0,91429,,Latteezy,Contributor,
65704,1,0,0,91430,,jaiewp,Contributor,
65705,1,0,0,91431,,Gabedn,Contributor,
65706,1,0,0,91432,,eastaley,Contributor,
65707,1,0,0,91433,,thefurball,Contributor,
65708,1,0,0,91434,,CITYBOY60644,Contributor,
65709,1,0,0,91435,,bbe24,Contributor,
65710,1,0,1,91436,,mmtjrt2,Contributor,
65711,1,0,0,91437,,cowboyroy6,Contributor,
65712,1,0,0,91438,,hill3757,Contributor,
65713,1,0,0,91439,,LexiMomof2,Contributor,
65714,1,0,0,91440,,BJILLINOIS,Contributor,
65715,1,0,0,91441,,GAguy85,Contributor,
65716,1,0,0,91442,,sanzertu,Contributor,
65717,1,0,0,91443,,EDGARDA,Contributor,
65718,1,0,0,91444,,dmvillasana,Contributor,
65719,1,0,0,91445,,sangdigger,Contributor,
65720,1,0,0,91446,,TRD123,Contributor,
65721,1,0,0,91447,,currysweetlee,Contributor,
65722,1,0,0,91448,,CPINKY35,Contributor,
65723,1,0,0,91449,,HoosierJoe,Contributor,
65724,1,0,0,91450,,urethra,Contributor,
65725,1,0,0,91451,,lawan72,Contributor,
65726,1,0,0,91452,,gilligus,Contributor,
65727,1,0,0,91453,,Sllewiss,Contributor,
65728,1,0,0,91454,,sarahlydiajulia,Contributor,
65729,1,0,0,91455,,chroz,Contributor,
65730,1,0,0,91456,,roadbikes,Contributor,
65731,1,0,0,91457,,gt4dani,Contributor,
65732,1,0,0,91458,,AhrisMommy13,Contributor,
65733,1,0,0,91459,,mwatson1464,Contributor,
65734,1,0,0,91460,,Sazzmoe,Contributor,
65735,1,0,0,91461,,deuring,Contributor,
65736,1,0,0,91462,,SirBear,Contributor,
65737,1,0,0,91463,,charliann,Contributor,
65738,1,0,0,91464,,Peto63,Contributor,
65739,1,0,0,91465,,scottshane123,Contributor,
65740,1,0,0,91466,,manonmayer,Contributor,
65741,1,0,0,91467,,birdlady43,Contributor,
65742,1,0,0,91468,,EugeneK,Contributor,
65743,1,0,0,91469,,harrison_inc,Contributor,
65744,1,0,0,91470,,sjessica58,Contributor,
65745,1,0,0,91471,,s66i66x,Contributor,
65746,1,0,0,91472,,Gloria711,Contributor,
65747,1,0,0,91473,,bboop126,Contributor,
65748,1,0,0,91474,,SaphireAvindar,Contributor,
65749,1,0,0,91475,,mictec,Contributor,
65750,1,0,0,91476,,JuneBabs,Contributor,
65751,1,0,0,91477,,shammer0,Contributor,
65752,1,0,0,91478,,Gxprocord,Contributor,
65753,1,0,0,91479,,Shivapn,Contributor,
65754,1,0,0,91480,,beausols,Contributor,
65755,1,0,0,91481,,Iwonder2001,Contributor,
65756,1,0,0,91482,,Dear05,Contributor,
65757,1,0,0,91483,,Kristinle,Contributor,
65758,1,0,0,91484,,JTuttle2013,Contributor,
65759,1,0,0,91485,,JuliaCH,Contributor,
65760,1,0,0,91486,,mottamadness,Contributor,
65761,1,0,0,91487,,nikimarie85,Contributor,
65762,1,0,0,91488,,jbc0845,Contributor,
65763,1,0,0,91489,,kimmster1,Contributor,
65764,1,0,0,91490,,angels317,Contributor,
65765,1,0,0,91491,,clpolli,Contributor,
65766,1,0,0,91492,,Renealien37,Contributor,
65767,1,0,0,91493,,onophotog,Contributor,
65768,1,0,0,91494,,adders,Contributor,
65769,1,0,0,91495,,michellestar,Contributor,
65770,1,0,0,91496,,yoshiman,Contributor,
65771,1,0,0,91497,,JoyDWade,Contributor,
65772,1,0,0,91498,,Bonn53,Contributor,
65773,1,0,0,91499,,fruitsnvegies,Contributor,
65774,1,0,0,91500,,Allergeeze,Contributor,
65775,1,0,0,91501,,tinampowell,Contributor,
65776,1,0,0,91502,,AsheAshe,Contributor,
65777,1,0,0,91503,,cpfair,Contributor,
65778,1,0,0,91504,,Joyce45,Contributor,
65779,1,0,0,91505,,Kisses1,Contributor,
65780,1,0,0,91506,,seraschan,Contributor,
65781,1,0,0,91507,,scarletkitty,Contributor,
65782,1,0,0,91508,,lakshman21,Contributor,
65783,1,0,0,91509,,CourtesyVan,Contributor,
65784,1,0,38,91510,,GeorgeFreris,Contributor,
65785,1,0,0,91511,,sitbooboosit,Contributor,
65786,1,0,0,91512,,mschicken,Contributor,
65787,1,0,0,91513,,Aubzikins,Contributor,
65788,1,0,0,91514,,sox8991,Contributor,
65789,1,0,0,91515,,taushie,Contributor,
65790,1,0,0,91516,,TyTy2,Contributor,
65791,1,0,0,91517,,georgianadawn,Contributor,
65792,1,0,0,91518,,kqual,Contributor,
65793,1,0,4,91519,,chris939,Contributor,
65794,1,0,0,91520,,Hrthlp,Contributor,
65795,1,0,0,91521,,lesliebreen4,Contributor,
65796,1,0,0,91522,,cherrytop1958,Contributor,
65797,1,0,0,91523,,willowmoonstar,Contributor,
65798,1,0,0,91524,,denabowman,Contributor,
65799,1,0,0,91525,,aphers,Contributor,
65800,1,0,0,91526,,rodney49,Contributor,
65801,1,0,0,91527,,lcannata,Contributor,
65802,1,0,0,91528,,bgoldie,Contributor,
65803,1,0,0,91529,,sambrownpcbfl,Contributor,
65804,1,0,0,91530,,jerry6353,Contributor,
65805,1,0,0,91531,,kz2sq8,Contributor,
65806,1,0,0,91532,,worried21man,Contributor,
65807,1,0,0,91533,,schaafski,Contributor,
65808,1,0,0,91534,,AnswerScreen,Contributor,
65809,1,0,0,91535,,mychild,Contributor,
65810,1,0,0,91536,,lynda2,Contributor,
65811,1,0,0,91537,,19120,Contributor,
65812,1,0,0,91538,,Nance30,Contributor,
65813,1,0,0,91539,,beahealthy3,Contributor,
65814,1,0,0,91540,,JAGBAG,Contributor,
65815,1,0,0,91541,,travis8523,Contributor,
65816,1,0,0,91542,,Relkniw,Contributor,
65817,1,0,31,91543,,canman24,Contributor,
65818,1,0,0,91544,,kimberbranyan,Contributor,
65819,1,0,0,91545,,ArtHorne,Contributor,
65820,1,0,0,91546,,Glesheil0911,Contributor,
65821,1,0,0,91547,,samschutte,Contributor,
65822,1,0,0,91548,,fdancequeenh8,Contributor,
65823,1,0,0,91549,,shelly93062,Contributor,
65824,1,0,0,91550,,Upset1,Contributor,
65825,1,0,0,91551,,123zale,Contributor,
65826,1,0,0,91552,,xchrzski,Contributor,
65827,1,0,0,91553,,gramking61,Contributor,
65828,1,0,0,91554,,fiesta14,Contributor,
65829,1,0,0,91555,,Jennad1010,Contributor,
65830,1,0,0,91556,,jj110210,Contributor,
65831,1,0,0,91557,,tessyd,Contributor,
65832,1,0,116,91558,,Mikhael53,Contributor,
65833,1,0,0,91559,,michele95,Contributor,
65834,1,0,0,91560,,stuckinthedesert,Contributor,
65835,1,0,0,91561,,BillyLulu,Contributor,
65836,1,0,0,91562,,klctx,Contributor,
65837,1,0,0,91563,,aodom21,Contributor,
65838,1,0,0,91564,,Nemoine,Contributor,
65839,1,0,1,91565,,raynes87,Contributor,
65840,1,0,0,91566,,tourney,Contributor,
65841,1,0,0,91567,,wat31,Contributor,
65842,1,0,0,91568,,doublebutte1967,Contributor,
65843,1,0,0,91569,,painfullyscared,Contributor,
65844,1,0,0,91570,,oceanriver3,Contributor,
65845,1,0,0,91571,,katehomolka,Contributor,
65846,1,0,0,91572,,jim110604,Contributor,
65847,1,0,0,91573,,sherridoll,Contributor,
65848,1,0,0,91574,,brich777,Contributor,
65849,1,0,0,91575,,Waikoloa,Contributor,
65850,1,0,0,91576,,catie24,Contributor,
65851,1,0,0,91577,,jtc1012,Contributor,
65852,1,0,0,91578,,skelly61,Contributor,
65853,1,0,0,91579,,lidare,Contributor,
65854,1,0,0,91580,,john5525,Contributor,
65855,1,0,0,91581,,kristolpher,Contributor,
65856,1,0,0,91582,,willnancy,Contributor,
65857,1,0,0,91583,,logancroston,Contributor,
65858,1,0,0,91584,,Sandymir,Contributor,
65859,1,0,0,91585,,Jagmin,Contributor,
65860,1,0,0,91586,,FleaFlea74,Contributor,
65861,1,0,0,91587,,larfer,Contributor,
65862,1,0,0,91588,,Frediak,Contributor,
65863,1,0,0,91589,,Crystal0856,Contributor,
65864,1,0,0,91590,,ash1085,Contributor,
65865,1,0,0,91591,,scififan,Contributor,
65866,1,0,0,91592,,buckhunter2015,Contributor,
65867,1,0,0,91593,,shap313,Contributor,
65868,1,0,0,91594,,JayGinaJesse,Contributor,
65869,1,0,0,91595,,whisperknot,Contributor,
65870,1,0,0,91596,,bull61,Contributor,
65871,1,0,0,91597,,Katie9829,Contributor,
65872,1,0,0,91598,,Allison1234,Contributor,
65873,1,0,0,91599,,SanyaCore,Contributor,
65874,1,0,0,91600,,JennieScott,Contributor,
65875,1,0,0,91601,,Shellyurban,Contributor,
65876,1,0,0,91602,,margif126,Contributor,
65877,1,0,0,91603,,rustywio123,Contributor,
65878,1,0,0,91604,,tiffanyfromstatesborogeorgia,Contributor,
65879,1,0,0,91605,,babyblueeyes27,Contributor,
65880,1,0,0,91606,,emmysue13,Contributor,
65881,1,0,0,91607,,hecroy13,Contributor,
65882,1,0,0,91608,,ClaraMartins,Contributor,
65883,1,0,0,91609,,ccantrel,Contributor,
65884,1,0,0,91610,,babygir,Contributor,
65885,1,0,0,91611,,Bondorera123,Contributor,
65886,1,0,0,91612,,llbates,Contributor,
65887,1,0,0,91613,,oct777,Contributor,
65888,1,0,0,91614,,SydneyBlake,Contributor,
65889,1,0,0,91615,,MeanOleBroad,Contributor,
65890,1,0,0,91616,,BSNSLB,Contributor,
65891,1,0,0,91617,,grimsby07,Contributor,
65892,1,0,0,91618,,NicoleWill,Contributor,
65893,1,0,0,91619,,pennokie,Contributor,
65894,1,0,0,91620,,halight,Contributor,
65895,1,0,0,91621,,Chaserizer,Contributor,
65896,1,0,0,91622,,runco61,Contributor,
65897,1,0,0,91623,,ronaldwadebrown,Contributor,
65898,1,0,0,91624,,eileenalana,Contributor,
65899,1,0,0,91625,,yorkieangel,Contributor,
65900,1,0,0,91626,,brittanywoodbridge08,Contributor,
65901,1,0,0,91627,,meica,Contributor,
65902,1,0,0,91628,,Lynn1569,Contributor,
65903,1,0,0,91629,,Avandy,Contributor,
65904,1,0,0,91630,,Martyb52,Contributor,
65905,1,0,0,91631,,mzbonbon,Contributor,
65906,1,0,0,91632,,usps1989,Contributor,
65907,1,0,0,91633,,debihayes,Contributor,
65908,1,0,0,91634,,KitKat141986,Contributor,
65909,1,0,0,91635,,andesindahouse33,Contributor,
65910,1,0,0,91636,,lion52,Contributor,
65911,1,0,0,91637,,SweetyAlyssa,Contributor,
65912,1,0,0,91638,,debramatz,Contributor,
65913,1,0,0,91639,,SeanTierney,Contributor,
65914,1,0,0,91640,,Fernando65,Contributor,
65915,1,0,0,91641,,katiemegirl,Contributor,
65916,1,0,0,91642,,Chris190,Contributor,
65917,1,0,0,91643,,Arnel58,Contributor,
65918,1,0,0,91644,,ggdunsmore,Contributor,
65919,1,0,0,91645,,KColeman90,Contributor,
65920,1,0,0,91646,,Maddiezz,Contributor,
65921,1,0,0,91647,,pamvaughn123,Contributor,
65922,1,0,0,91648,,patdodds1,Contributor,
65923,1,0,0,91649,,vickilynnb,Contributor,
65924,1,0,0,91650,,boyd56,Contributor,
65925,1,0,0,91651,,richeym,Contributor,
65926,1,0,0,91652,,kyrasavannah,Contributor,
65927,1,0,0,91653,,g8erguh,Contributor,
65928,1,0,0,91654,,pebbles610,Contributor,
65929,1,0,0,91655,,dmcb1960,Contributor,
65930,1,0,0,91656,,sgoss1215,Contributor,
65931,1,0,0,91657,,rhill3850,Contributor,
65932,1,0,0,91658,,khorne29,Contributor,
65933,1,0,0,91659,,Dotellme,Contributor,
65934,1,0,0,91660,,JahnaeDp,Contributor,
65935,1,0,0,91661,,giadzich,Contributor,
65936,1,0,0,91662,,maja62,Contributor,
65937,1,0,0,91663,,Buckie1,Contributor,
65938,1,0,0,91664,,Gina923,Contributor,
65939,1,0,0,91665,,beth18,Contributor,
65940,1,0,6,91666,,Aspirinis,Contributor,
65941,1,0,0,91667,,Dani720126,Contributor,
65942,1,0,0,91668,,Meowmeow1,Contributor,
65943,1,0,0,91669,,jenski2001,Contributor,
65944,1,0,0,91670,,hockeymother,Contributor,
65945,1,0,0,91671,,WellBeings,Contributor,
65946,1,0,0,91672,,Batnip,Contributor,
65947,1,0,0,91673,,muneermoon,Contributor,
65948,1,0,5,91674,,stacy321,Contributor,
65949,1,0,0,91675,,Kimbie15,Contributor,
65950,1,0,0,91676,,Danyal3,Contributor,
65951,1,0,0,91677,,redsox890,Contributor,
65952,1,0,0,91678,,todders2006,Contributor,
65953,1,0,0,91679,,TKJKFJSJFSDKKSDJFKSJFSJFKSAJFK,Contributor,
65954,1,0,0,91680,,jjuulliieemm,Contributor,
65955,1,0,0,91681,,dikupp04,Contributor,
65956,1,0,0,91682,,MunishGupta,Contributor,
65957,1,0,0,91683,,SWAAPNIKL,Contributor,
65958,1,0,0,91684,,Filippo62,Contributor,
65959,1,0,0,91685,,Sunand,Contributor,
65960,1,0,0,91686,,Teneilleme1,Contributor,
65961,1,0,0,91687,,ckiki6,Contributor,
65962,1,0,0,91688,,kc30041,Contributor,
65963,1,0,0,91689,,Xante,Contributor,
65964,1,0,0,91690,,_NControlOfType2_,Contributor,
65965,1,0,0,91691,,juelz05,Contributor,
65966,1,0,0,91692,,karenjune3,Contributor,
65967,1,0,0,91693,,jack1127,Contributor,
65968,1,0,0,91694,,staley71,Contributor,
65969,1,0,0,91695,,cocobutt,Contributor,
65970,1,0,0,91696,,bwilder10h,Contributor,
65971,1,0,0,91697,,hackettryan72,Contributor,
65972,1,0,0,91698,,jokeefe61,Contributor,
65973,1,0,0,91699,,Mandarinoranges,Contributor,
65974,1,0,0,91700,,jessicajohnson1977,Contributor,
65975,1,0,0,91701,,Dunner46,Contributor,
65976,1,0,0,91702,,millyjose,Contributor,
65977,1,0,0,91703,,skamurch,Contributor,
65978,1,0,0,91704,,gabiejax,Contributor,
65979,1,0,0,91705,,snieland,Contributor,
65980,1,0,0,91706,,Pietras,Contributor,
65981,1,0,0,91707,,lmk1001,Contributor,
65982,1,0,0,91708,,lisaoc,Contributor,
65983,1,0,0,91709,,rcdallmann,Contributor,
65984,1,0,0,91710,,1970david,Contributor,
65985,1,0,0,91711,,007goldenballs,Contributor,
65986,1,0,0,91712,,kenu011,Contributor,
65987,1,0,0,91713,,sammyuk,Contributor,
65988,1,0,0,91714,,keekah35,Contributor,
65989,1,0,0,91715,,TAhealth,Contributor,
65990,1,0,0,91716,,TLH427,Contributor,
65991,1,0,0,91717,,morganmmary1,Contributor,
65992,1,0,0,91718,,MJG1992,Contributor,
65993,1,0,0,91719,,Killer93,Contributor,
65994,1,0,0,91720,,magmydog,Contributor,
65995,1,0,0,91721,,Bcoleman57,Contributor,
65996,1,0,0,91722,,jra13,Contributor,
65997,1,0,0,91723,,billswyfe4lyfe,Contributor,
65998,1,0,0,91724,,leighcalloway,Contributor,
65999,1,0,0,91725,,JP5206,Contributor,
66000,1,0,0,91726,,Cutecat42,Contributor,
66001,1,0,0,91727,,Char10,Contributor,
66002,1,0,0,91728,,Dicocoa2,Contributor,
66003,1,0,0,91729,,tankred4,Contributor,
66004,1,0,0,91730,,ultradoll350276,Contributor,
66005,1,0,0,91731,,AirMech_80,Contributor,
66006,1,0,0,91732,,Noblewisdom,Contributor,
66007,1,0,0,91733,,DaveLindsey2013,Contributor,
66008,1,0,0,91734,,Zeke1217,Contributor,
66009,1,0,0,91735,,bknight47,Contributor,
66010,1,0,0,91736,,bloom12540,Contributor,
66011,1,0,0,91737,,bzymom31,Contributor,
66012,1,0,0,91738,,SirRook,Contributor,
66013,1,0,0,91739,,brkirk159,Contributor,
66014,1,0,0,91740,,fudgecakers,Contributor,
66015,1,0,0,91741,,Rebbers,Contributor,
66016,1,0,0,91742,,Caryn72,Contributor,
66017,1,0,0,91743,,missie838,Contributor,
66018,1,0,0,91744,,mommytwo3,Contributor,
66019,1,0,0,91745,,mg1989,Contributor,
66020,1,0,0,91746,,Rubin77,Contributor,
66021,1,0,0,91747,,dogsrluvthatheals,Contributor,
66022,1,0,0,91748,,beth0649,Contributor,
66023,1,0,0,91749,,Information101,Contributor,
66024,1,0,0,91750,,patcahill,Contributor,
66025,1,0,0,91751,,Sirhcgiw,Contributor,
66026,1,0,0,91752,,Braice,Contributor,
66027,1,0,0,91753,,Tomasparra,Contributor,
66028,1,0,0,91754,,EK2six,Contributor,
66029,1,0,0,91755,,Frontenac,Contributor,
66030,1,0,0,91756,,texanmom,Contributor,
66031,1,0,0,91757,,crius,Contributor,
66032,1,0,0,91758,,sweetmokie,Contributor,
66033,1,0,0,91759,,rmckdwoz,Contributor,
66034,1,0,0,91760,,Goldnluvr,Contributor,
66035,1,0,0,91761,,Owlrond,Contributor,
66036,1,0,0,91762,,CrewsG,Contributor,
66037,1,0,0,91763,,blackrash,Contributor,
66038,1,0,0,91764,,Measkim,Contributor,
66039,1,0,0,91765,,debralee123,Contributor,
66040,1,0,0,91766,,pixiepeg,Contributor,
66041,1,0,0,91767,,Hendges98,Contributor,
66042,1,0,0,91768,,firedept,Contributor,
66043,1,0,0,91769,,TARINASMAN,Contributor,
66044,1,0,0,91770,,renacer,Contributor,
66045,1,0,0,91771,,Linedancer8695,Contributor,
66046,1,0,0,91772,,morris21,Contributor,
66047,1,0,0,91773,,Concerned1210,Contributor,
66048,1,0,0,91774,,hookem1958,Contributor,
66049,1,0,0,91775,,Rainie690,Contributor,
66050,1,0,0,91776,,Yesterday13,Contributor,
66051,1,0,0,91777,,HNazeim,Contributor,
66052,1,0,0,91778,,atrobert,Contributor,
66053,1,0,0,91779,,Ronco64,Contributor,
66054,1,0,0,91780,,Bradsangel2010,Contributor,
66055,1,0,0,91781,,lanie46,Contributor,
66056,1,0,0,91782,,ohnamak,Contributor,
66057,1,0,0,91783,,Gandadina,Contributor,
66058,1,0,0,91784,,KatieLedman,Contributor,
66059,1,0,0,91785,,krw20,Contributor,
66060,1,0,0,91786,,ksoratedxxx,Contributor,
66061,1,0,0,91787,,Borojin555,Contributor,
66062,1,0,0,91788,,nanakelly,Contributor,
66063,1,0,0,91789,,gamergram,Contributor,
66064,1,0,0,91790,,ijustwantanswers1,Contributor,
66065,1,0,0,91791,,tatuaz,Contributor,
66066,1,0,0,91792,,Angelo944,Contributor,
66067,1,0,0,91793,,Sienna7,Contributor,
66068,1,0,0,91794,,triggerthepup,Contributor,
66069,1,0,0,91795,,FOURBOYS1,Contributor,
66070,1,0,0,91796,,nityananda,Contributor,
66071,1,0,0,91797,,hidi222,Contributor,
66072,1,0,0,91798,,pmhudson,Contributor,
66073,1,0,0,91799,,Stubbs242,Contributor,
66074,1,0,0,91800,,RobofEureka,Contributor,
66075,1,0,0,91801,,delilahhb,Contributor,
66076,1,0,0,91802,,lisa0979,Contributor,
66077,1,0,0,91803,,poolandgolf,Contributor,
66078,1,0,0,91804,,dukdy,Contributor,
66079,1,0,0,91805,,Dhealthnut,Contributor,
66080,1,0,0,91806,,Snugs05,Contributor,
66081,1,0,0,91807,,dhills876,Contributor,
66082,1,0,0,91808,,s_foco,Contributor,
66083,1,0,0,91809,,IanMitchell,Contributor,
66084,1,0,0,91810,,stephie72,Contributor,
66085,1,0,0,91811,,stedyz,Contributor,
66086,1,0,3,91812,,MushyKetchup,Contributor,
